instance,method,value,execution_time,run
fri26.json,ACO,"958	0,1,3,5,4,2,13,14,11,12,10,9,8,6,7,15,18,19,17,16,20,25,21,22,23,24",2.3630247116088867,5
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F9173E8C8>, <deap.tools.support.Statistics object at 0x0000023F902E1148>)",0.27532196044921875,6
fri26.json,ACO,"937	0,1,2,3,5,4,6,7,8,9,13,14,11,12,10,15,18,19,17,16,20,21,25,22,23,24",1.9901833534240723,6
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F909C8608>, <deap.tools.support.Statistics object at 0x0000023F90375288>)",0.27156877517700195,7
fri26.json,ACO,"940	0,24,23,22,21,25,20,16,17,19,18,15,10,11,12,14,13,9,8,7,6,4,5,3,2,1",2.0206596851348877,7
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F9172FD08>, <deap.tools.support.Statistics object at 0x0000023F9172FEC8>)",0.23577666282653809,8
fri26.json,ACO,"972	0,1,2,4,5,3,6,7,8,9,14,13,10,12,11,15,18,19,17,16,20,21,25,22,23,24",2.0199105739593506,8
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F909E4208>, <deap.tools.support.Statistics object at 0x0000023F9057C908>)",0.2467358112335205,9
fri26.json,ACO,"963	0,1,3,5,4,6,7,8,9,13,2,14,11,12,10,15,18,19,17,16,20,25,21,22,23,24",1.9742789268493652,9
fri26.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F901CC3C8>, <deap.tools.support.Statistics object at 0x0000023F90534C08>)",0.25322842597961426,10
fri26.json,ACO,"960	0,24,23,22,21,25,20,16,17,19,18,15,11,10,12,14,13,9,8,7,6,5,3,4,2,1",2.0006446838378906,10
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F8E333BC8>, <deap.tools.support.Statistics object at 0x0000023F9063BD48>)",0.2147355079650879,1
gr17.json,ACO,"2158	0,15,11,8,9,1,4,10,2,14,13,16,5,7,6,3,12",0.5699913501739502,1
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90A0EF48>, <deap.tools.support.Statistics object at 0x0000023F917A9FC8>)",0.22439956665039062,2
gr17.json,ACO,"2170	0,12,3,6,16,5,7,13,14,2,10,4,1,9,8,11,15",0.561058521270752,2
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F91803FC8>, <deap.tools.support.Statistics object at 0x0000023F90992908>)",0.20535516738891602,3
gr17.json,ACO,"2161	0,15,11,8,9,1,4,10,2,14,13,7,5,16,6,12,3",0.5413875579833984,3
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F904F63C8>, <deap.tools.support.Statistics object at 0x0000023F91740208>)",0.25531673431396484,4
gr17.json,ACO,"2134	0,15,11,8,4,1,9,10,2,13,14,5,7,16,6,12,3",0.5545179843902588,4
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90A5AD88>, <deap.tools.support.Statistics object at 0x0000023F91803C08>)",0.2293872833251953,5
gr17.json,ACO,"2160	0,15,11,8,9,1,4,10,2,14,13,5,7,6,16,12,3",0.5587077140808105,5
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90A91348>, <deap.tools.support.Statistics object at 0x0000023F90657348>)",0.20496630668640137,6
gr17.json,ACO,"2144	0,3,12,6,16,5,7,13,2,14,10,9,1,4,8,11,15",0.5748448371887207,6
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F8DAE2B88>, <deap.tools.support.Statistics object at 0x0000023F909924C8>)",0.20545029640197754,7
gr17.json,ACO,"2135	0,15,11,8,4,1,9,10,2,13,14,5,7,6,16,12,3",0.566777229309082,7
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F904AF1C8>, <deap.tools.support.Statistics object at 0x0000023F917FCDC8>)",0.20848989486694336,8
gr17.json,ACO,"2149	0,15,11,8,9,1,4,10,2,14,13,16,5,7,6,12,3",0.5937983989715576,8
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F90A64548>, <deap.tools.support.Statistics object at 0x0000023F91890C88>)",0.20754480361938477,9
gr17.json,ACO,"2189	0,15,11,8,1,9,4,10,2,14,13,5,7,6,16,12,3",0.5912947654724121,9
gr17.json,GA,"(<deap.tools.support.HallOfFame object at 0x0000023F914F6888>, <deap.tools.support.Statistics object at 0x0000023F917FC048>)",0.22440481185913086,10
