instance,method,value,execution_time,run
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5369353294372559,1
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5121080875396729,2
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5316884517669678,3
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5243785381317139,4
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.509016752243042,5
fifteen.json,ACO,"291	0,10,3,5,7,9,13,11,2,6,4,8,14,1,12",0.5176169872283936,6
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5475361347198486,7
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5177218914031982,8
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5190622806549072,9
fifteen.json,ACO,"291	0,12,1,14,8,4,6,2,11,13,9,7,5,3,10",0.5032098293304443,10
fri26.json,ACO,"940	0,1,2,3,5,4,6,7,8,9,13,14,12,11,10,15,18,19,17,16,20,25,21,22,23,24",1.931426763534546,1
fri26.json,ACO,"956	0,24,23,22,25,21,20,16,17,19,18,15,10,11,12,13,14,9,8,7,6,5,3,4,2,1",1.9313807487487793,2
fri26.json,ACO,"949	0,24,23,22,21,25,20,16,17,19,18,15,10,12,11,14,13,9,8,7,6,4,3,5,2,1",1.9401438236236572,3
fri26.json,ACO,"941	0,24,23,22,25,21,20,16,17,19,18,15,10,12,11,14,13,9,8,7,6,5,4,3,2,1",1.9684762954711914,4
fri26.json,ACO,"989	0,1,4,5,3,2,14,10,12,11,13,9,8,6,7,15,18,19,17,16,20,21,25,22,23,24",1.9410076141357422,5
fri26.json,ACO,"957	0,1,2,3,5,4,6,7,8,9,10,12,11,14,13,15,18,19,17,16,20,21,25,22,23,24",1.9417064189910889,6
fri26.json,ACO,"962	0,1,2,13,14,12,11,10,9,8,4,3,5,6,7,15,18,19,17,16,20,21,25,22,23,24",1.959536075592041,7
fri26.json,ACO,"941	0,1,2,3,4,5,6,7,8,9,13,14,11,12,10,15,18,19,17,16,20,21,25,22,23,24",1.9972407817840576,8
fri26.json,ACO,"978	0,13,9,10,12,11,14,2,1,3,4,5,6,7,8,15,18,19,17,16,20,21,25,22,23,24",1.9520576000213623,9
fri26.json,ACO,"937	0,1,2,3,5,4,6,7,8,9,13,14,11,12,10,15,18,19,17,16,20,21,25,22,23,24",1.9477434158325195,10
gr17.json,ACO,"2096	0,3,12,6,7,16,5,13,14,2,10,9,1,4,8,11,15",0.558037281036377,1
gr17.json,ACO,"2153	0,3,12,6,7,5,16,13,2,14,9,1,4,10,8,11,15",0.539069414138794,2
gr17.json,ACO,"2110	0,3,12,7,6,16,5,13,14,2,10,9,1,4,8,11,15",0.5415530204772949,3
gr17.json,ACO,"2088	0,12,3,15,11,8,4,1,9,10,2,14,13,16,5,7,6",0.588324785232544,4
gr17.json,ACO,"2152	0,12,3,15,11,8,9,1,4,10,2,14,13,16,5,7,6",0.644024133682251,5
gr17.json,ACO,"2153	0,15,11,8,10,4,1,9,14,2,13,16,5,7,6,12,3",0.6252896785736084,6
gr17.json,ACO,"2097	0,3,12,6,16,5,7,13,14,2,10,9,1,4,8,11,15",0.6224319934844971,7
gr17.json,ACO,"2135	0,6,7,5,16,13,2,14,10,9,1,4,8,11,15,3,12",0.61834716796875,8
gr17.json,ACO,"2174	0,15,11,8,9,1,4,10,2,14,13,5,16,6,7,12,3",0.5764589309692383,9
gr17.json,ACO,"2153	0,15,11,8,10,4,1,9,14,2,13,16,5,7,6,12,3",0.5375628471374512,10
gr24.json,ACO,"1316	0,15,10,2,16,9,4,23,5,6,7,20,17,21,18,14,1,19,13,12,8,22,3,11",1.5767817497253418,1
gr24.json,ACO,"1278	0,11,3,22,8,12,13,19,1,14,18,17,21,16,9,4,23,5,6,7,20,2,10,15",1.5171723365783691,2
gr24.json,ACO,"1323	0,15,10,2,20,6,7,5,23,4,9,16,21,17,18,1,14,19,13,12,8,22,3,11",1.538224697113037,3
gr24.json,ACO,"1272	0,15,10,2,6,5,23,7,20,4,9,16,21,17,18,14,1,19,13,12,8,22,3,11",1.531646728515625,4
gr24.json,ACO,"1285	0,11,3,22,8,12,13,19,1,14,18,17,21,16,9,4,7,20,23,5,6,2,10,15",1.5260567665100098,5
gr24.json,ACO,"1295	0,3,11,22,8,12,13,19,1,14,18,21,17,16,9,4,20,7,23,5,6,2,10,15",1.530311107635498,6
gr24.json,ACO,"1278	0,11,3,22,8,12,13,19,1,14,18,17,21,16,9,4,23,5,6,7,20,2,10,15",1.5689353942871094,7
gr24.json,ACO,"1278	0,11,3,22,8,12,13,19,1,14,18,21,17,16,9,4,23,5,6,7,20,2,10,15",1.5146591663360596,8
gr24.json,ACO,"1330	0,11,3,22,8,12,13,19,1,14,18,17,21,16,9,4,2,10,20,7,6,23,5,15",1.5448975563049316,9
gr24.json,ACO,"1282	0,11,3,22,8,12,13,19,1,14,18,21,17,16,9,4,20,7,5,23,6,2,10,15",1.584519863128662,10
